index,Aveg1L,Aveg1R,Aveg2L,Aveg2R,Aveg3L,Aveg3R
123,0.129778,0.133843,0.064934,0.070892,0.009139,0.009470
124,0.131993,0.136125,0.066138,0.072125,0.009288,0.009631
125,0.134302,0.138414,0.067297,0.073376,0.009446,0.009788
126,0.136597,0.140733,0.068508,0.074603,0.009614,0.009962
127,0.138985,0.143060,0.069775,0.075876,0.009787,0.010125
128,0.141360,0.145432,0.070983,0.077118,0.009958,0.010287
129,0.143811,0.147864,0.072197,0.078417,0.010121,0.010454
130,0.146132,0.150339,0.073489,0.079742,0.010297,0.010617
131,0.148585,0.152733,0.074786,0.081059,0.010469,0.010820
132,0.151062,0.155172,0.076052,0.082427,0.010636,0.010988
133,0.153606,0.157631,0.077314,0.083751,0.010804,0.011173
134,0.156132,0.160172,0.078577,0.085139,0.010996,0.011359
135,0.158580,0.162675,0.079884,0.086515,0.011164,0.011539
136,0.161105,0.165231,0.081212,0.087877,0.011344,0.011705
137,0.163674,0.167820,0.082539,0.089268,0.011527,0.011887
138,0.166278,0.170443,0.083911,0.090648,0.011714,0.012073
139,0.168970,0.173100,0.085253,0.092067,0.011883,0.012283
140,0.171700,0.175848,0.086586,0.093494,0.012065,0.012469
141,0.174344,0.178511,0.088010,0.094944,0.012249,0.012670
142,0.176990,0.181231,0.089465,0.096357,0.012438,0.012876
143,0.179701,0.184005,0.090858,0.097800,0.012631,0.013077
144,0.182396,0.186808,0.092249,0.099276,0.012810,0.013284
145,0.185128,0.189611,0.093682,0.100750,0.013004,0.013500
146,0.187886,0.192402,0.095085,0.102227,0.013192,0.013713
147,0.190558,0.195235,0.096567,0.103724,0.013382,0.013926
148,0.193367,0.198135,0.098024,0.105222,0.013574,0.014127
149,0.196148,0.200997,0.099526,0.106724,0.013760,0.014357
150,0.198998,0.203880,0.100992,0.108281,0.013950,0.014569
151,0.201849,0.206771,0.102497,0.109871,0.014146,0.014773
152,0.204695,0.209727,0.103991,0.111437,0.014345,0.014997
153,0.207601,0.212715,0.105466,0.112957,0.014543,0.015229
154,0.210519,0.215720,0.107007,0.114543,0.014740,0.015461
155,0.213505,0.218765,0.108564,0.116124,0.014937,0.015688
156,0.216525,0.221827,0.110085,0.117704,0.015142,0.015908
157,0.219601,0.224908,0.111582,0.119317,0.015361,0.016141
158,0.222614,0.227914,0.113099,0.120852,0.015569,0.016364
159,0.225613,0.231063,0.114686,0.122426,0.015774,0.016599
160,0.228686,0.234244,0.116268,0.124036,0.015998,0.016827
161,0.231718,0.237399,0.117847,0.125654,0.016215,0.017061
162,0.234830,0.240490,0.119468,0.127300,0.016442,0.017294
163,0.237960,0.243697,0.121083,0.128912,0.016665,0.017505
164,0.241126,0.246903,0.122789,0.130579,0.016885,0.017736
165,0.244233,0.250239,0.124472,0.132230,0.017091,0.017988
166,0.247349,0.253531,0.126104,0.133901,0.017302,0.018234
167,0.250571,0.256833,0.127736,0.135588,0.017513,0.018469
168,0.253794,0.260139,0.129378,0.137289,0.017729,0.018692
169,0.257064,0.263430,0.131068,0.139055,0.017952,0.018945
170,0.260292,0.266724,0.132762,0.140762,0.018180,0.019188
171,0.263600,0.270165,0.134431,0.142485,0.018414,0.019459
172,0.266907,0.273470,0.136123,0.144246,0.018641,0.019724
173,0.270192,0.276877,0.137883,0.145983,0.018848,0.019990
174,0.273500,0.280355,0.139635,0.147778,0.019101,0.020251
175,0.276906,0.283771,0.141446,0.149617,0.019329,0.020527
176,0.280300,0.287280,0.143213,0.151417,0.019543,0.020781
177,0.283640,0.290683,0.144969,0.153239,0.019777,0.021050
178,0.287053,0.294261,0.146732,0.155076,0.020008,0.021289
179,0.290485,0.297791,0.148543,0.156988,0.020244,0.021556
180,0.293881,0.301349,0.150349,0.158837,0.020501,0.021797
181,0.297379,0.304865,0.152182,0.160700,0.020735,0.022057
182,0.300876,0.308344,0.154009,0.162492,0.020980,0.022328
183,0.304265,0.311934,0.155837,0.164352,0.021228,0.022587
184,0.307734,0.315524,0.157676,0.166261,0.021471,0.022839
185,0.311288,0.319020,0.159565,0.168193,0.021719,0.023099
186,0.314922,0.322525,0.161459,0.170165,0.021977,0.023385
187,0.318486,0.326006,0.163327,0.172027,0.022227,0.023648
188,0.322029,0.329518,0.165201,0.173991,0.022474,0.023917
189,0.325643,0.333064,0.167097,0.175948,0.022725,0.024193
190,0.329155,0.336693,0.169043,0.177890,0.022964,0.024487
191,0.332642,0.340231,0.170989,0.179910,0.023223,0.024753
192,0.336108,0.343768,0.172908,0.181852,0.023484,0.025034
193,0.339587,0.347280,0.174876,0.183870,0.023751,0.025295
194,0.343083,0.350778,0.176800,0.185878,0.024016,0.025571
195,0.346650,0.354227,0.178795,0.187885,0.024268,0.025839
196,0.350082,0.357723,0.180804,0.189956,0.024539,0.026118
197,0.353566,0.361161,0.182783,0.192056,0.024796,0.026401
198,0.356943,0.364464,0.184771,0.194127,0.025074,0.026685
199,0.360388,0.367778,0.186766,0.196278,0.025336,0.026984
200,0.363752,0.371006,0.188787,0.198418,0.025629,0.027271
